Symbol,SL Multiplier,TP RR,Final PnL ($),Sharpe Ratio,Max Drawdown ($),Max Drawdown (%),Total Trades,Win Rate,Initial Capital
Volatility 10 Index,1.1,1.0,-2.9948674181688983,-0.3721706622792985,33.49703472396486,26.967864814602358,57,57.89473684210527,100
Volatility 10 Index,1.1,1.1,9.745323593615296,1.144097533258042,26.56405087504737,20.549434839214133,57,57.89473684210527,100
Volatility 10 Index,1.1,1.2000000000000002,22.485514605394037,2.4948389149743986,23.209987884254787,17.278709334698426,57,57.89473684210527,100
Volatility 10 Index,1.1,1.3000000000000005,25.337679826879885,2.6298573987242437,25.80800973541849,18.09728548062373,57,56.14035087719298,100
Volatility 10 Index,1.1,1.4000000000000004,28.874111959532293,2.753616027684081,27.24077206280782,18.799710432731736,57,54.38596491228071,100
Volatility 10 Index,1.1,1.5000000000000004,12.23948550522966,1.1426996064330806,40.154103721835625,28.38193095984342,57,49.122807017543856,100
Volatility 10 Index,1.1,1.6000000000000003,23.041012431584768,2.061459647536154,38.42409260052685,25.89833365345593,57,49.122807017543856,100
Volatility 10 Index,1.1,1.7000000000000006,33.84253935795079,2.903650549781509,37.25773633262728,23.911339306063585,57,49.122807017543856,100
Volatility 10 Index,1.1,1.8000000000000007,38.04093938676981,3.230755927905387,36.09138006473589,23.037424885372,56,48.21428571428572,100
Volatility 10 Index,1.1,1.9000000000000008,39.181941640361785,3.1860986085814145,42.7270578646969,26.09843499620966,56,46.42857142857143,100
Volatility 10 Index,1.1,2.000000000000001,38.46906677350164,2.8648041465641825,50.715415885505,29.69879339857644,56,44.642857142857146,100
Volatility 10 Index,1.1,2.100000000000001,48.19126734890271,3.455784053617496,49.54905961761358,27.86522835238006,56,44.642857142857146,100
Volatility 10 Index,1.1,2.200000000000001,44.12537655320869,3.270767349506032,48.38270334971949,28.28081209029837,56,42.85714285714285,100
Volatility 10 Index,1.1,2.300000000000001,53.41669927326567,3.823393143925363,47.21634708182262,26.57087563384832,56,42.85714285714285,100
Volatility 10 Index,1.1,2.400000000000001,49.37880306622666,3.254528264559775,59.379209741019054,32.21534523261036,56,41.07142857142857,100
Volatility 10 Index,1.1,2.5000000000000013,58.278089935483344,3.719142916801688,58.60488932391976,30.69288436747464,56,41.07142857142857,100
Volatility 10 Index,1.1,2.6000000000000014,28.76951469875021,1.8627766668278944,65.86014623806805,37.4922996318456,56,35.714285714285715,100
Volatility 10 Index,1.1,2.700000000000001,36.60191650950165,2.294661677603632,65.0858258209715,35.84701137054866,56,35.714285714285715,100
Volatility 10 Index,1.1,2.8000000000000016,28.32573835559325,1.795053915930527,64.31150540386955,37.53018694740061,56,33.92857142857143,100
